hand_result
-1
1
-1
1
-1
-1
-1
1
-1
-1
-1
-1
1
-1
-1
-1
1
1
1
-1
1
-1
1
1
1
1
-1
-1
-1
1
-1
-1
1
-1
0
1
-1
-1
-1
1
1
1
-1
1
1
-1
1
-1
1
-1
-1
1
-1
-1
-1
1
-1
-1
-1
1
1
-1
-1
1
1
0
1
-1
-1
-1
1
-1
0
1
1
-1
-1
1
-1
-1
-1
1
1
-1
1
-1
1
1
1
-1
1
1
-1
-1
-1
1
1
1
1
1
-1
-1
0
-1
1
-0.5
0.5
-53
-71
-40
